folder,file,phase,iteration,input_len,kvcache,modality,bandwidth,arcc,direction,mean_ttft_ms,std_ttft_ms,mean_itl_ms,total_token_throughput
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,3,1000,gds-400g,GDS,400g,Y,N/A,223.97122499765828,36.16911776199305,0.0,64590.70179928063
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,1,10000,gds-400g,GDS,400g,Y,N/A,21833.32336852094,7097.933858183348,0.0,6260.002377924902
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,2,10000,gds-400g,GDS,400g,Y,N/A,19297.683553827228,3744.5555012122377,0.0,7975.356730593746
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,3,10000,gds-400g,GDS,400g,Y,N/A,1386.8548595637549,243.84978221630286,0.0,110008.11744780424
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,1,50000,gds-400g,GDS,400g,Y,N/A,137692.8261496988,45265.71137913691,0.0,4920.711822534334
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,2,50000,gds-400g,GDS,400g,Y,N/A,79744.12645402132,16452.587400098353,0.0,9220.17125737732
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,3,50000,gds-400g,GDS,400g,Y,N/A,17347.110516302055,12040.48815143431,0.0,44604.969793044605
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,1,100000,gds-400g,GDS,400g,Y,N/A,389819.61727265734,137993.37780187873,0.0,3483.3432590305442
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,2,100000,gds-400g,GDS,400g,Y,N/A,155689.0723354183,47218.64224075073,0.0,9054.449703457936
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,3,100000,gds-400g,GDS,400g,Y,N/A,122442.00134108658,35592.73498532276,0.0,11528.547082097903
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,1,100,disk-arcc-800g,Local Disk,800g,Y,N/A,257.9063184003462,38.77194209987275,0.0,5510.433958764425
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,2,100,disk-arcc-800g,Local Disk,800g,Y,N/A,87.36929327948019,13.302060376629171,0.0,15433.4127309464
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,3,100,disk-arcc-800g,Local Disk,800g,Y,N/A,85.36554001970217,11.543294109606649,0.0,15744.845734229773
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,1,1000,disk-arcc-800g,Local Disk,800g,Y,N/A,1409.4180149998283,353.1055313171194,0.0,10151.670495339835
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,2,1000,disk-arcc-800g,Local Disk,800g,Y,N/A,139.59010972001124,20.93211681391248,0.0,101085.52065212063
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,3,1000,disk-arcc-800g,Local Disk,800g,Y,N/A,140.8549178604153,21.18977028738162,0.0,99975.62498023179
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,1,10000,disk-arcc-800g,Local Disk,800g,Y,N/A,14847.00154015969,4993.137512095252,0.0,9194.53028111525
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,2,10000,disk-arcc-800g,Local Disk,800g,Y,N/A,685.9805819013854,115.9978863023484,0.0,223028.29711523614
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,3,10000,disk-arcc-800g,Local Disk,800g,Y,N/A,673.0063653807156,118.58917081862612,0.0,224361.6016756678
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,1,50000,disk-arcc-800g,Local Disk,800g,Y,N/A,132891.27174982044,47479.328455154966,0.0,5100.456853066839
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,2,50000,disk-arcc-800g,Local Disk,800g,Y,N/A,12736.907161779818,7836.771575221187,0.0,59844.354675735856
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,3,50000,disk-arcc-800g,Local Disk,800g,Y,N/A,11023.147690699843,7571.730890190109,0.0,69927.65794811395
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,1,100000,disk-arcc-800g,Local Disk,800g,Y,N/A,341211.0004603409,121936.85919896995,0.0,3979.3337441776507
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,2,100000,disk-arcc-800g,Local Disk,800g,Y,N/A,38435.89112813992,13495.449317702329,0.0,37969.267143753066
